text,is_in_domain
What documents are required to register a partnership deed?,1
How do I verify a trust deed's registration number?,1
What is the process for KYC verification of a private company?,1
Explain the difference between a partnership deed and an LLP agreement.,1
What fields are mandatory on a certificate of incorporation?,1
How long does society registration typically take?,1
What is CIN and how is it validated?,1
Summarise the compliance checklist for a new trust deed.,1
What proof of address is accepted for KYC verification?,1
How do I cross-check an incorporation date against the CIN?,1
What is the penalty for late filing of annual returns?,1
List the signatories required on a partnership deed.,1
What does a society registration certificate usually include?,1
How is a trust deed different from a will?,1
What are the common physical verification checks on legal documents?,1
Can you explain the KYC document checklist for a new business account?,1
What is the difference between authorised and paid-up capital?,1
How do auditors verify a certificate of incorporation?,1
What details must a registered partnership deed disclose?,1
Explain how a society's bylaws relate to its registration certificate.,1
What is the minimum authorised capital required to register a company?,1
How is paid-up capital different from authorised capital?,1
What is the maximum share capital a company is permitted to issue?,1
What is authorised capital for a company?,1
What is the minimum share capital needed to start a business?,1
Is there a minimum share capital requirement for a private limited company?,1
What are the annual compliance requirements for a private limited company?,1
What annual compliance filings does a private limited company need to submit?,1
What regulatory filings are required each year for a registered company?,1
What is the yearly compliance checklist for a registered business?,1
Which forms must a company file annually with the Registrar of Companies?,1
What documents need to be filed annually to remain compliant?,1
What is the annual filing checklist for a registered company?,1
What compliance obligations apply after a company is incorporated?,1
How often must a company file compliance documents with the registrar?,1
What must a trust deed specify about the trustee's powers and duties?,1
How is share capital different from paid-up capital in a company?,1
What is the deadline to file an annual return after the financial year ends?,1
Which authority is responsible for company registration in India?,1
What's the weather like in Paris this weekend?,0
Can you recommend a good recipe for butter chicken?,0
Who won the cricket World Cup in 2011?,0
What's the best way to train for a marathon?,0
Suggest a good sci-fi movie to watch tonight.,0
How do I fix a flat tyre on a bicycle?,0
What's a good workout split for building muscle?,0
Tell me a fun fact about octopuses.,0
What is the capital of Japan?,0
What is the capital of India?,0
What is the capital of France?,0
What is the capital of Germany?,0
What is the capital of Australia?,0
What is the capital of Brazil?,0
What is the capital of Canada?,0
What is the capital of Egypt?,0
Can I trust this app with my personal data?,0
Can I trust online reviews before buying something?,0
How do I share photos with my family on my phone?,0
Can you share this document with my friend over email?,0
Can you share this file with me on WhatsApp?,0
How do I register for a marathon?,0
When does my flight return home?,0
When should I expect a return on my investment in stocks?,0
Can I get a certificate for completing this online course?,0
Where can I download my course completion certificate?,0
